title,summary,slug,locale,body,published_on
Два місяці роботи лікарів-протезистів та реабілітологів,"
<p>Підготовка до проєкту йшла довго. Але зараз раді говорити про вражаючі результати!</p>

<p></p>",prostatic,uk,"
<p>Підготовка до проєкту йшла довго. Але зараз раді говорити про вражаючі результати!</p>

<p></p>

<p>(відео в <a href=""https://www.facebook.com/ukrainians.japan/posts/pfbid02txvknMq1pPaVMWZdoc8tq2dG9h7QgzGBgSRUc4YMzJZ43uJvRXnq1Qnt9PnzYAFbl"">коментарях до посту</a>).</p>

<p>Вже майже два місяці невпинної роботи команди чудових лікарів-протезистів та реабілітологів Міе кен у співпраці з НПО СанПанСа та нашої команди Краян наближають до мрії наших Котиків повернутись до повноцінного життя. Мотивовані, позитивні, трудяги мають немалі успіхи, дивують нас і лікарів темпами реабілітації!</p>

<p>Ця мрія була б нездійсненною для них без невпинної роботи серед колег-лікарів Олександра Соколенка, без кураторства проєктом від НПО Краяни Софії Катаоки, без тісної співпраці з НПО СанПанСа і , звичайно, без вас, наші благодійники. Адже він здійснюється на ваші кошти - небайдужих людей, які підтримують Україну, наближають нашу перемогу і мир! Низький уклін всім вам!</p>

<p>Збір коштів закінчується вже через день. Але проєкт триватиме стільки, скільки потрібна буде допомога.</p>

<p><strong>Переможемо!</strong></p>

<p><strong>Відновимо!</strong></p>

<p><strong>Відбудуємо!</strong></p>

<p><a href=""https://readyfor.jp/projects/sunpansa01"">https://readyfor.jp/projects/sunpansa01</a></p>

<hr />

<p><img src=""/assets/images/news/2023-05-25-prostatic/photo1-bd1e2dde.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo2-b260f3ef.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo3-24fe4111.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo4-c59cb503.jpg"" alt="""" /></p>
",2023-05-25
今週からこの救急車は人々の命を救うための任務を開始します,"<p><a href=""https://www.facebook.com/ukrainians.japan/posts/pfbid02bfwb74Lqfo6RJc8RqFxKqZn5MMFadRbqsJUB4m6Jz98SM9n5uUEbMRSunwbn3Aizl"">Facebook</a></p>

<p>今週からこの救急車は人々の命を救うための任務を開始します。</p>

<p></p>",ambulance,ja,"<p><a href=""https://www.facebook.com/ukrainians.japan/posts/pfbid02bfwb74Lqfo6RJc8RqFxKqZn5MMFadRbqsJUB4m6Jz98SM9n5uUEbMRSunwbn3Aizl"">Facebook</a></p>

<p>今週からこの救急車は人々の命を救うための任務を開始します。</p>

<p></p>

<p>救急車を提供してくださった日本のSunPanSa、ウクライナのAll-Ukrainian Association 'PATRIOT'、オランダのZeilen Van Vrijheidの支援に心から感謝します。</p>

<p>そして今まで多くの支援をしてくださった皆様のご協力、ウクライナへの信頼にも心から感謝しています。</p>

<h3 id=""httpswwwfacebookcomembassyofjapaninukrainepostspfbid02nehnvr9b39svb2chpk6ryhvcb3ygcdkywkw2i4qkulhrreurg1uxqi11zbnatwz8l""><a href=""https://www.facebook.com/embassyofjapaninukraine/posts/pfbid02nEHNVR9B39SvB2chpK6RyhVCB3yGcDKYWkw2i4QKULhrReurG1uxqi11ZBnATWZ8l"">在ウクライナ日本国大使館 から</a></h3>

<p>6月5日、松田大使は全ウクライナ協会「パトリオット」の代表者らの訪問を受け、日本のウクライナ支援、特に奥伊勢市消防局とNGOによる救急車2台の提供に心から感謝の意を表した。クラヤニ」。</p>

<p>これらの車は後にムィコラーイウに移送され、そこでウクライナ人の命を救うことになる。</p>

<p><img src=""/assets/images/news/2023-06-08-ambulance/photo1-227f46be.jpg"" alt="""" />
<img src=""/assets/images/news/2023-06-08-ambulance/photo2-a68cdb6f.jpg"" alt="""" />
<img src=""/assets/images/news/2023-06-08-ambulance/photo3-24ddeadb.jpg"" alt="""" />
<img src=""/assets/images/news/2023-06-08-ambulance/photo4-1e5853ac.jpg"" alt="""" /></p>
",2023-06-08
「ウクライナ民族衣装展示会」が東京で開催されました,"
<p>11月18から22日にかけて、東京文化学園のギャラリーにて、ウクライナの衣装の展示が行われました。展示会では、ウクライナの16の地域からの17のオリジナル民族衣装と、中央ウクライナのルシニク（刺繍が施された布）が紹介されました。</p>

<p>このコレクションは、ウクライナのすべての地域で25年間これらの衣装を収集してきたオレナ・スクリプカの大規模なコレクションのほんの一部です。日本でこのコレクションを見て、ウクライナの色を感じ、衣装の地域的な特徴を知ることができました。</p>

<p>コレクションの作者である...</p>",costume-2019,ja,"
<p>11月18から22日にかけて、東京文化学園のギャラリーにて、ウクライナの衣装の展示が行われました。展示会では、ウクライナの16の地域からの17のオリジナル民族衣装と、中央ウクライナのルシニク（刺繍が施された布）が紹介されました。</p>

<p>このコレクションは、ウクライナのすべての地域で25年間これらの衣装を収集してきたオレナ・スクリプカの大規模なコレクションのほんの一部です。日本でこのコレクションを見て、ウクライナの色を感じ、衣装の地域的な特徴を知ることができました。</p>

<p>コレクションの作者であるオレナ・スクリプカによると、彼女はウクライナ人の国民意識の1つであるものを保存し、次世代に引き継ぐための必要性を感じたため、このコレクションの収集を始めました。ウクライナの伝統的な衣装は先祖のエネルギーを運び、それを通してウクライナ人の明るく魅力的な魂を感じるることができます。団結した有力なな国家になるためには、この遺産を大事にしなければなりません。</p>

<p>展示会では、ウクライナの衣装の特徴についての講話が行われ、モタンカ（人形のお守り）制作体験レッスン、刺繍のクラスが開催されました。</p>

<p>このプロジェクトは過去3年間、日本のウクライナ人コミュニティによって準備されており、在日ウクライナ大使館と文化学園の協力のおかげで実現しました。</p>
",2019-11-25
Шостий Парад Вишиванок у Токіо (2018),"<p>Цього року Парад Вишиванок у Токіо відбувся 20 травня. Ця подія зібрала біля 200 чоловік.</p>

<p></p>",parade-2018,uk,"<p>Цього року Парад Вишиванок у Токіо відбувся 20 травня. Ця подія зібрала біля 200 чоловік.</p>

<p></p>

<p>Багато знайомих і незнайомих один одному людей різних національностей, різного віку, одягнувши вишиванки зібрались в одну дружню родину.</p>

<p>Подія відбулася завдяки участі й підтримці надзвичайного й повноважного посла України в Японії Ігоря Харченко та співробітників української Амбасади в Японії, а також Місії Української Православної церкви Київського Патріархату в Японії.</p>

<p>Готувались до параду всі. Матусі та вчителі токійської української школи «Джерельце» розучували з дітьми пісні та танці, готували вишиванки заздалегідь. Деякі учасники — японські учениці студії української вишивки, — виготовили вишиванки своїми руками!</p>

<p>Учасники ходи пройшлися людними вулицями центру Токіо, танцюючи та співаючи українських пісень. Листівки японською та англійською мовами про подію і з поясненням про те, що таке вишиванка і яке значення вона має для нас, українців, учасники ходи роздавали перехожим, які, зупиняючись із цікавістю спостерігали дійство.</p>

<p>Багато хто з японців, особливо старшого віку, прочитавши ""ウクライナ"" — «Україна» з неабиякою обізнаністю заводили розмову про українську історію та події сьогодення. Іноземці й без листівок, побачивши українські прапори вітали нас вигуками: «Україна».
Маршрут був цього року довшим ледь не вдвічі від попередніх років, але піднесений настрій, радість від зустрічі надихнув багатьох ще й на українські танці, які розучувались по закінченні ходи в парку Хібія.</p>

<p>Новинкою цьогорічного параду була лотерея у якій розігрувалася компакт-диски українських виконавців, лялька-мотанка. Головним призом була вишиванка.</p>

<p>У Токіо мегамарш у вишиванках вперше відбувся у 2013. У 2013 році захід зібрав понад 70 українців, які проживають у Японії, а також японці, яким цікава та небайдужа Україна.</p>

<ul>
  <li>Фото
    <ul>
      <li><a target=""_blank"" href=""https://goo.gl/XEbcss"">https://goo.gl/XEbcss</a> (credits Микола Солоцький)</li>
      <li><a target=""_blank"" href=""https://photos.app.goo.gl/Hmyo2jakGjkO5EEM2"">https://photos.app.goo.gl/Hmyo2jakGjkO5EEM2</a> (credits Олексій Хіраяма)
Відео</li>
      <li><a target=""_blank"" href=""https://drive.google.com/drive/folders/1a-0QpbALhmsTyvH6Sw2on11Ygvrpy0Jg?usp=sharing"">https://drive.google.com/drive/folders/1a-0QpbALhmsTyvH6Sw2on11Ygvrpy0Jg?usp=sharing</a> (credits Дмитро Ковальов)</li>
    </ul>
  </li>
  <li>Додаткова Інформація
    <ul>
      <li>Веб сторінка мегамаршу (<a href=""https://www.kraiany.org/uk/parade/"">https://www.kraiany.org/uk/parade/</a>)</li>
      <li>Подія на Facebook (українською, англійською та японською) <a target=""_blank"" href=""https://www.facebook.com/events/160824581296953"">https://www.facebook.com/events/160824581296953</a></li>
    </ul>
  </li>
</ul>
",2018-05-21
Розпис ляльок Окіагарі Кобоші,"
<p>Цього року минуло 10 років трагедії на атомній станції Фукушіма і 35 років
аварії на Чорнобильській АЕС.</p>

<p>Щоб підтримати постраждалих від землетрусу, цунами та аварії, відомий дизайнер
Кензо Такада започаткував проєкт розмальовування традиційної японської ляльки
“Окіагарі Кобоші”.</p>

<p></p>",okiagari-koboshi,uk,"
<p>Цього року минуло 10 років трагедії на атомній станції Фукушіма і 35 років
аварії на Чорнобильській АЕС.</p>

<p>Щоб підтримати постраждалих від землетрусу, цунами та аварії, відомий дизайнер
Кензо Такада започаткував проєкт розмальовування традиційної японської ляльки
“Окіагарі Кобоші”.</p>

<p></p>

<p>В Україні такі ляльки ще називають  Іванець-киванець. Вона
самостійно повертається в стан стійкої рівноваги з будь-якого положення.  Ця
лялька стала символом стійкості, витривалості, незламності і походить вона саме
з Фукушіми, з району Аізу Вакамацу.</p>

<p>З початку заснування проєкту до нього долучилося багато відомих особистостей
спочатку Франції - друзів пана Такади, пізніше з інших країн, у тому числі і
українці взяли участь у розписі ляльок.</p>

<p>20 червня цього року учні, вчителі та батьки української школи “Джерельце”,  що
в Токіо, завдяки  керівнику проєкту “Окіагарі Кобоші” в Японії пану Мінору
Ватанабе мали можливість взяти у ньому участь.</p>

<p>Діти дізнались про сам проєкт, про його засновників, про трагедію Чорнобиля і
Фукушіми.</p>

<p>Розмальовуючи свої роботи, всі мали приємність поспілкуватися з відомими
художниками манґа Бан Іппонгі та Норіко Нагано.</p>

<p>Всі ретельно готувались до події, продумали кожну деталь. Роботи усіх дітей та
дорослих сповнені глибокого змісту, а дизайн кожної - це поєднання двох
культур- японської та української.</p>

<p>Роботи дітей та батьків після проведених виставок передадуть у Центр дитячого
розвитку міста Фукушіма.</p>

",2021-06-23
InterFM новини українською (випуск 2 травня 2022),"<p>Слава Україні!</p>

<p>Доброго дня, шановні слухачі Inter FM, Вас вітає українська громада в
Японії “Краяни”. Сьогодні в ефірі - детальніше про отримання довгострокової візи та допомогу українцям в Японії.</p>

<p></p>",news,uk,"<p>Слава Україні!</p>

<p>Доброго дня, шановні слухачі Inter FM, Вас вітає українська громада в
Японії “Краяни”. Сьогодні в ефірі - детальніше про отримання довгострокової візи та допомогу українцям в Японії.</p>

<p></p>

<p>Всі українці, які шукають притулку в Японії, отримують короткострокові
візи тимчасового перебування в країні на 90 днів, відлік починається з
дня прибуття в Японію. Для отримання картки резидента та реєстрації в
органах місцевої влади необхідно змінити цю короткострокову візу на
довгострокову (1 рік), яка називається “Особливі види діяльності”
(токутей кацудо 特定活動). Статус резидента надає можливості по різних
напрямках:</p>

<ul>
  <li>
    <p>реєстрування у системі національного медичного страхування, або соціального медичного страхування
працевлаштування</p>
  </li>
  <li>
    <p>отримання допомоги (деякі організації та урядові установи надають допомогу тільки після отримання картки резидента)
відкриття банківського рахунку</p>
  </li>
  <li>
    <p>налаштування мобільного та інтернет зв’язку</p>
  </li>
</ul>

<p>Для отримання довгострокової візи та картки резидента необхідно
звернутися до найближчого відділу міграційної служби. Посилання на
перелік відділів міграційної служби та їх адреси по всій Японії дивіться
на сайті Inter FM, сайті Краян чи офіційному сайті міграційної служби
Японії.</p>

<p><a href=""https://www.isa.go.jp/en/about/region/index.html"">Перелік відділів міграційної служби Японії</a></p>

<p>Час отримання візи та картки резидента залежить від навантаження кожного
окремого відділу. Що необхідно для отримання візи та картки резидента:</p>

<ul>
  <li>
    <p>анкета-заява на зміну статусу перебування</p>
  </li>
  <li>
    <p>фотокартка (розміри вказані в анкеті)</p>
  </li>
  <li>
    <p>гарантійний лист</p>
  </li>
  <li>
    <p>лист у вільній формі з поясненням причини зміни статусу</p>
  </li>
  <li>
    <p>паспорт громадянина України для виїзду за кордон</p>
  </li>
</ul>

<p>В залежності від обставин та Вашої особистої ситуації, можуть попросити надати інші документи. Зазвичай додаткові документи можна надіслати поштою пізніше.</p>

<p>Форми документів дивіться на сайті Краян або на сайті міграційної служби Японії. Також можливо отримати їх безпосередньо у відділі служби.</p>

<p>Результат розгляду заяви надсилається заявнику поштою, але в окремих відділах служби були випадки зміни статусу візи та видачі картки резидента в день подачі заяви.</p>

<p>Якщо у Вас є питання щодо процедури зміни короткострокової візи на довгострокову та отримання картки резидента, зверніться до консультаційної служби FRESC за телефоном 0120-76-2029, повторюю 0120-76-2029. Консультації можна отримати українською мовою з понеділка по п’ятницю з 9-ї ранку до 8-ї вечора, у суботу, неділю та свята з 9-ї ранку до 5-ї вечора.</p>

<p><a href=""https://www.isa.go.jp/en/support/fresc/ukraine_support.html"">Консультаційна служба FRESC</a></p>

<p>2-го травня 2022 року в Токіо ,в районі Шібуя, відкрився центр психологічної та моральної допомоги для українців, які знайшли притулок у Японії. Центр працює з 3-го по 7-ме травня кожного дня з 10-ї до 16-ї години. З 8-го травня кожного вівторка та п’ятниці з 10-ї ранку до 16-ї, та по суботах з 12-ї до 15 години. До служби також можна звернутися за телефоном 050-3612-7559, повторюю 050-3612-7559. Подробиці дивіться на сайті Inter FM або на сайті Краян.</p>

<p><a href=""https://www.facebook.com/groups/320018323514035/permalink/361578436024690/"">Центр психологічної та моральної допомоги для українців.</a></p>

<p>Якщо Ви приїхали до Японії зі своїми домашніми улюбленцями, то скоріш за все вже знаєте про строгу процедуру ввозу домашніх тварин в Японію та необхідний карантин по прильоту. Якщо самотужки Вам важко сплатити витрати на карантин, або Вам необхідна допомога у спілкуванні зі службою карантину тощо, зверніться до Peace Winds Japan. Посилання на форму заяви - на сайті Inter FM та сайті Краян.</p>

<p><a href=""https://peace-winds.org/activity/ukraine/21307"">Допомога від Peace Winds Japan</a></p>

<p>Крім того, компанія медичного страхування домашніх тварин Anicom оголосила про надання безкоштовного лікування та щеплень для домашніх тварин українців, які знайшли притулок зі своїми улюбленцями в Японії. Надання послуг відбувається в лікарнях групи Аніком. Перелік та адреси лікарень можна знайти на сайті Аніком. Подати заяву на безкоштовне ветеринарне обслуговування можна на сайті Аніком.</p>

<p>Безкоштовне ветеринарне обслуговування Anicom
<a href=""https://www.anicom.co.jp/news-release/2022/20220419-2/"">англійською</a> та
<a href=""https://www.anicom.co.jp/news-release/2022/20220419/"">японською</a></p>

<h3 id=""section"">Про найближчі події.</h3>

<p>7 травня відбудеться захід на підтримку України в парку Комае ( біля
району Сетагая, міста Токіо ). Назва заходу  «Душею з вами» (気持ちつな
ぐDAY). Захід організовує мерія міста Комає разом з українською
громадою в Японії «Краяни», та українською  недільною  школою
«Джерельце» .</p>

<p>На заході відвідувачів чекає українській борщ, концертна програма,
продаж сувенірів, дитячий куточок з розмальовками, та написанням
листівок на підтримку України. Також заплановано збір коштів для
постраждалих від війни українців.</p>

<p>Участь в заході безкоштовна.</p>

<p>Посилання на події та подробиці можна знайти на сайті Inter FM або на
Фейсбук сторінках Краян та інших українських спільнот. Запрошуємо всіх
бажаючих.</p>

<p>8.最後の挨拶
Бажаємо Вам гарного дня! До нових зустрічей на Inter FM.</p>

<h3 id=""section-1"">ウェブサイトに載せる情報</h3>

<ul>
  <li><a href=""https://www.isa.go.jp/en/about/region/index.html"">Перелік відділів міграційної служби Японії</a></li>
  <li><a href=""https://www.isa.go.jp/en/support/fresc/ukraine_support.html"">Консультаційна служба FRESC</a></li>
  <li><a href=""https://www.facebook.com/groups/320018323514035/permalink/361578436024690/"">Центр психологічної та моральної допомоги для українців.</a></li>
  <li><a href=""https://peace-winds.org/activity/ukraine/21307"">Допомога від Peace Winds Japan</a></li>
  <li><a href=""https://www.anicom.co.jp/news-release/2022/20220419-2/"">Безкоштовне ветеринарне обслуговування Anicom англійською</a>
    <ul>
      <li><a href=""https://www.anicom.co.jp/news-release/2022/20220419/"">японською</a></li>
    </ul>
  </li>
  <li><a href=""https://www.city.komae.tokyo.jp/events/index.cfm/view.4.202205.2034.html"">Захід в місті Комае «Душею з вами»(Kimochi tsunagaru DAY)</a>
    <ul>
      <li><a href=""https://www.facebook.com/hideki.maruyama.0423/posts/7396747010399870"">Facebook</a></li>
    </ul>
  </li>
</ul>
",2022-05-02
Збір коштів для допомоги Україні,<p>Більше трьох тижнів як ми відкрили збір коштів на гуманітарну допомогу Україні.</p>,donations,uk,"<p>Більше трьох тижнів як ми відкрили збір коштів на гуманітарну допомогу Україні.</p><></READMORE><img src=""/assets/images/news/2022-03-30-donations/donations.jpg"" class=""main""><p>За цей період на рахунок надійшло  10.624.557єн від 291 людини. З них на сьогодні переказано 10.262.677єн волонтерам, які, іноді ризикуючи своїм життям, забезпечують необхідним у Харкові, Сумах, Дніпрі, Чернігові, Херсоні, Черкасах, Полтаві, Миколаєві, Києві та інших містах.</p><p>Ми безмежно вдячні  всім нашим друзям - хто вже переказав кошти на допомогу і хто  планує це робити  в подальшому. Кожен посильний вклад -це нагодована дитина, доставлене харчування, зігріта добром чиясь душа, врятоване життя.</p><p>Ми не втомлюємось дякувати всім і кожному, хто не шкодує свого часу та сил і долучається до збору коштів на гуматітарну допомогу постраждалим від російської агресії в Україні.</p><p>Нагадую реквізити рахунку, на який ви можете переказати посильну допомогу</p><dl><dt>Ім'я</dt><dd>三菱UFJ 銀行 (Mitsubishi UFJ)</dd><dt>Відділення банку</dt><dd>品川駅前支店 588</dd><dt>Тип рахунку</dt><dd>普通</dd><dt>Номер рахунку</dt><dd>0516596</dd><dt>Ім'я</dt><dd>ニホンウクライナユウコウキヨウカイクラヤヌイ</dd></dl><p>Разом до перемоги!</p><p>Слава Україні!</p>",2022-03-30
「カフェ・クラヤヌィ」開店のお知らせ,"<p>JR三鷹駅から徒歩15分ほどの住宅街にカフェ・クラヤヌィが開店しました。</p>

<p><strong></strong></p>",cafe-kraiany,ja,"<p>JR三鷹駅から徒歩15分ほどの住宅街にカフェ・クラヤヌィが開店しました。</p>

<p><strong></strong></p>

<ul>
  <li>場所:<a href=""https://goo.gl/maps/98aMcfCh4xkufVYL7"" target=""_blank"">東京都武蔵野市西久保3-2-5</a></li>
  <li>営業予定：月曜から土曜、午前10時から午後5時。日曜定休。（イベント等で臨時休業）<a href=""https://twitter.com/npo_kraiany"" target=""_blank"">ツイッター等で要確認</a></li>
</ul>

<h2 id=""section"">メニュー (オープニング記念で全品500円)</h2>

<ul>
  <li>ボルシチ　（スープ）</li>
  <li>ワレヌィキ（水餃子）</li>
  <li>ペリグ　（ケーキ）</li>
  <li>ドリンク　（コーヒ、紅茶、ジュース）</li>
</ul>
",2023-02-23
Сьомий Парад Вишиванок у Токіо (2019),"
<p>9 травня цього року відбувся сьомий Парад Вишиванок у Токіо. Ця подія зібрала більше 200 учасників, серед яких були українці, японці, американці, громадяни інших країн та друзі української громади.</p>

<p></p>",parade-2019,uk,"
<p>9 травня цього року відбувся сьомий Парад Вишиванок у Токіо. Ця подія зібрала більше 200 учасників, серед яких були українці, японці, американці, громадяни інших країн та друзі української громади.</p>

<p></p>

<p>Подія відбулася за участі й підтримці надзвичайного й повноважного посла України в Японії Ігоря Харченко та співробітників української Амбасади в Японії, а також Місії Православної церкви України в Японії. У заході також брали участь батьки, діти та вчителі токійської української школи «Джерельце».</p>

<p>Хода розпочалася поблизу центральної залізничної станції Токіо, пройшлася людними вулицями центрального району міста Ґіндза та закінчилася у парку Хібія.</p>

<p>Учасники йшли танцюючи та співаючи українських пісень. Перехожим роздавали листівки японською та англійською мовами про подію із поясненням про українську вишиванку і значення, яке вона має для українців.</p>

<p>Багато хто з японців, особливо старшого віку, прочитавши ""ウクライナ"" — «Україна» з неабиякою обізнаністю заводили розмову про українську історію та події сьогодення. Іноземці навіть без листівок, побачивши українські прапори, вітали марш вигуками: «Україна».</p>

<p>Після параду відбулися культурні заходи: лотерея, у якій розігрувалися компакт-диски українських виконавців, лялька-мотанка, українські писанки. Головним призом лотереї були українські вишиванки. Відбувся вже традиційний майстер клас по розучуванню українських народних танців.</p>

<p>У Токіо парад у вишиванках вперше відбувся у 2013 році і з того часу проводиться щорічно. Перший захід зібрав понад 70 учасників.</p>

<ul>
  <li>Фото
    <ul>
      <li><a target=""_blank"" href=""https://photos.app.goo.gl/W9fmto1gajRyFfFh8"">https://photos.app.goo.gl/W9fmto1gajRyFfFh8 (credits Юя Такеда)</a></li>
      <li><a target=""_blank"" href=""https://photos.app.goo.gl/gLAPP5SFwwkMhBrd8"">https://photos.app.goo.gl/gLAPP5SFwwkMhBrd8 (credits Олексій Хіраяма)</a></li>
      <li><a target=""_blank"" href=""https://photos.app.goo.gl/aaHLsoMbgYLGQwMf8"">https://photos.app.goo.gl/aaHLsoMbgYLGQwMf8 (credits Дмитро Ковальов)</a></li>
    </ul>
  </li>
  <li>Відео
    <ul>
      <li><a target=""_blank"" href=""https://photos.app.goo.gl/PZYqNnKsW89LBjHM6"">https://photos.app.goo.gl/PZYqNnKsW89LBjHM6 (Дмитро Ковальов)</a></li>
    </ul>
  </li>
  <li>Додаткова Інформація
    <ul>
      <li><a href=""https://www.kraiany.org/uk/parade/"" target=""_blank"">Веб сторінка мегамаршу</a></li>
      <li><a href=""https://www.facebook.com/events/2278051682450891/"" target=""_blank"">Подія на Facebook</a></li>
    </ul>
  </li>
</ul>
",2019-05-20
「海外文化セミナー　ウクライナinすぎなみフェスタ」が開催されました,"<p>1月5日（土）、6日（日）、桃井原っぱ公園および桃井第一小学校にて、「海外文化セミナー　ウクライナ　in すぎなみフェスタ」を開催しました。</p>

<p></p>",suginami-festa,ja,"<p>1月5日（土）、6日（日）、桃井原っぱ公園および桃井第一小学校にて、「海外文化セミナー　ウクライナ　in すぎなみフェスタ」を開催しました。</p>

<p></p>

<p>「ナタリアかあさんのボルシチ」:杉並区に避難しているイェブトゥシュク・ナタリアさんのレシピでボルシチを販売しました。開店前から行列が絶えないほど大好評で、両日約300食が１時間半ほどで完売しました。ナタリアさんは持ち前のリーダーシップを発揮して、調理から販売まで、スタッフの中心となってがんばってくれました！</p>

<p>同じテントで、日本ウクライナ友好協会KRAIANY による物品販売、ウクライナのアーティストの写真展示もあり、多くの人で賑わいました。</p>

<p>メインステージでは、５日、「ウクライナ民謡とダンス」があり、美しい刺繍をほどこした民族衣装で合唱や舞踊を披露しました。</p>

<p>６日、区長とすぎなみフェスタ副実行委員長からKRAIANY への寄付金贈呈式がありました。</p>

<p>続いて、杉並区に避難しているチェロ奏者のラヴロワ・テチアナさん、ヤーナさん親子が演奏し、人々を魅了しました。</p>

<p>６日、桃井第一小学校会場では、KRAIANY 理事のイェブトゥシュク・イーゴルさんによる講演がありました。チェコ出身で協会理事のホリー・ペトルさんが司会を務めました。</p>

<p>イーゴルさんはご自身やご家族の具体的な話を交えて、「ウクライナの過去・現在・未来」について話し、小学生から年配まで幅広い世代の参加者（45名）が聞き入りました。</p>

<p>また、KRAIANY の協力により、区内外から多くの避難民の方々が会場にお越しくださり、ボランティアをしてくださいました。日頃は慣れない異国で生活している方々ですが、笑顔で楽しそうに文化紹介し交流する姿がありました。</p>

<p>ご協力いただきました皆様、ご来場くださいました皆様、ありがとうございました。</p>

<p>共催:杉並区<br />
協力：NPO日本ウクライナ友好協会KRAIANY、日本財団、東京西南ロータリークラブ</p>

<p><img src=""/assets/images/news/2022-11-17-suginami-festa/02-e753509a.jpg"" alt="""" />
<img src=""/assets/images/news/2022-11-17-suginami-festa/03-65d382ce.jpg"" alt="""" />
<img src=""/assets/images/news/2022-11-17-suginami-festa/04-212d31e9.jpg"" alt="""" />
<img src=""/assets/images/news/2022-11-17-suginami-festa/05-576ebe6b.jpg"" alt="""" />
<img src=""/assets/images/news/2022-11-17-suginami-festa/06-9b92e16c.jpg"" alt="""" />
<img src=""/assets/images/news/2022-11-17-suginami-festa/07-3aaf02a5.jpg"" alt="""" />
<img src=""/assets/images/news/2022-11-17-suginami-festa/08-4175fe40.jpg"" alt="""" />
<img src=""/assets/images/news/2022-11-17-suginami-festa/09-58f65e89.jpg"" alt="""" /></p>
",2022-11-17
義肢装具士とリハビリテーション専門家による2か月間の作業,"
<p>NPO KRAIANYとNPOSunPanSa主催のもと、ウクライナで手の切断を余儀なくされた負傷兵のリハビリテーションプログラムが開始されてから2カ月目に突入しました。</p>

<p></p>",prostatic,ja,"
<p>NPO KRAIANYとNPOSunPanSa主催のもと、ウクライナで手の切断を余儀なくされた負傷兵のリハビリテーションプログラムが開始されてから2カ月目に突入しました。</p>

<p></p>

<p>(<a href=""https://www.facebook.com/ukrainians.japan/posts/pfbid02txvknMq1pPaVMWZdoc8tq2dG9h7QgzGBgSRUc4YMzJZ43uJvRXnq1Qnt9PnzYAFbl"">動画は投稿のコメント欄に</a>).</p>

<p>三重県の医師、 義肢装具士とリハビリテーションの専門家の絶え間ない努力によって、負傷兵が義手を使いこなし、日常生活に戻れる夢が叶いつつあります。そして、負傷者自身も非常に前向きで、熱心にリハビリに取り組み、そのリハビリテーションのスピードには私たちも医師も常に驚かされています。</p>

<p>この夢は、パートナーのオレクサンドル・ソコレンコ医師の絶え間ない努力、NPO KRAIANYの片岡ソフィヤのプロジェクトマネジメント、NPO SunPanSaの密な協力、そして皆様からいただいた寄付のおかげで実現することができました。ご協力いただいた皆様に心から感謝しています。
このプロジェクトの支援募集終了日まで残り１日となりました。このプロジェクトは支援が必要な限り継続します。引き続きご協力のほどどうぞよろしくお願いいたします。
<a href=""https://readyfor.jp/projects/sunpansa01"">https://readyfor.jp/projects/sunpansa01</a></p>

<hr />

<p><img src=""/assets/images/news/2023-05-25-prostatic/photo1-bd1e2dde.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo2-b260f3ef.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo3-24fe4111.jpg"" alt="""" />
<img src=""/assets/images/news/2023-05-25-prostatic/photo4-c59cb503.jpg"" alt="""" /></p>
",2023-05-25
